trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.6, 'e': 0.999}",20,0,-74.54695411330702,"{0: 12, 1: 4, 2: 1, 3: 3, 4: 0}",0
2,False,"{'a': 0.6, 'e': 0.998001}",20,8,-20.900851072433408,"{0: 8, 1: 1, 2: 3, 3: 0, 4: 0}",1
3,False,"{'a': 0.6, 'e': 0.997002999}",20,0,-120.49785110426986,"{0: 10, 1: 4, 2: 3, 3: 2, 4: 1}",0
4,False,"{'a': 0.6, 'e': 0.996005996001}",20,0,-86.20021019932526,"{0: 15, 1: 1, 2: 2, 3: 0, 4: 2}",0
5,False,"{'a': 0.6, 'e': 0.995009990004999}",20,0,-79.53619695414234,"{0: 13, 1: 1, 2: 3, 3: 3, 4: 0}",0
6,False,"{'a': 0.6, 'e': 0.994014980014994}",20,0,-53.0328974749185,"{0: 12, 1: 4, 2: 3, 3: 1, 4: 0}",0
7,False,"{'a': 0.6, 'e': 0.993020965034979}",35,0,-192.8669527783193,"{0: 22, 1: 3, 2: 6, 3: 1, 4: 3}",0
8,False,"{'a': 0.6, 'e': 0.992027944069944}",20,0,-85.39628729169517,"{0: 13, 1: 2, 2: 3, 3: 1, 4: 1}",0
9,False,"{'a': 0.6, 'e': 0.991035916125874}",25,0,-194.93447991784012,"{0: 13, 1: 2, 2: 6, 3: 1, 4: 3}",0
10,False,"{'a': 0.6, 'e': 0.9900448802097482}",20,0,-113.46805361210127,"{0: 10, 1: 2, 2: 6, 3: 1, 4: 1}",0
11,False,"{'a': 0.6, 'e': 0.9890548353295384}",25,0,-105.5613745841371,"{0: 18, 1: 2, 2: 2, 3: 1, 4: 2}",0
12,False,"{'a': 0.6, 'e': 0.9880657804942089}",20,0,-61.36978454508531,"{0: 14, 1: 3, 2: 2, 3: 0, 4: 1}",0
13,False,"{'a': 0.6, 'e': 0.9870777147137147}",20,0,-45.601790319076784,"{0: 14, 1: 3, 2: 1, 3: 2, 4: 0}",0
14,False,"{'a': 0.6, 'e': 0.986090636999001}",25,0,-80.29666317312092,"{0: 17, 1: 3, 2: 4, 3: 0, 4: 1}",0
15,False,"{'a': 0.6, 'e': 0.985104546362002}",25,0,-66.97110513433242,"{0: 16, 1: 2, 2: 6, 3: 1, 4: 0}",1
16,False,"{'a': 0.6, 'e': 0.9841194418156399}",20,0,-79.69072842266829,"{0: 13, 1: 1, 2: 5, 3: 0, 4: 1}",0
17,False,"{'a': 0.6, 'e': 0.9831353223738244}",25,0,-198.1523075968461,"{0: 15, 1: 1, 2: 5, 3: 0, 4: 4}",0
18,False,"{'a': 0.6, 'e': 0.9821521870514505}",20,0,-67.3887559792736,"{0: 14, 1: 3, 2: 1, 3: 1, 4: 1}",0
19,False,"{'a': 0.6, 'e': 0.981170034864399}",25,0,-172.736965060018,"{0: 17, 1: 1, 2: 3, 3: 0, 4: 4}",0
20,False,"{'a': 0.6, 'e': 0.9801888648295347}",25,0,-277.00742918841104,"{0: 14, 1: 1, 2: 3, 3: 1, 4: 6}",0
21,False,"{'a': 0.6, 'e': 0.9792086759647052}",30,2,-170.09280078973066,"{0: 13, 1: 5, 2: 8, 3: 0, 4: 2}",1
22,False,"{'a': 0.6, 'e': 0.9782294672887404}",35,0,-169.43922312919247,"{0: 20, 1: 3, 2: 10, 3: 0, 4: 2}",0
23,False,"{'a': 0.6, 'e': 0.9772512378214517}",20,6,-19.76351664280135,"{0: 10, 1: 2, 2: 2, 3: 0, 4: 0}",1
24,False,"{'a': 0.6, 'e': 0.9762739865836302}",25,0,-242.2371329772175,"{0: 13, 1: 3, 2: 4, 3: 0, 4: 5}",0
25,False,"{'a': 0.6, 'e': 0.9752977125970466}",25,0,-110.89715398270623,"{0: 13, 1: 3, 2: 7, 3: 2, 4: 0}",0
26,False,"{'a': 0.6, 'e': 0.9743224148844496}",30,0,-115.64682607771827,"{0: 20, 1: 3, 2: 5, 3: 0, 4: 2}",0
27,False,"{'a': 0.6, 'e': 0.9733480924695651}",30,0,-86.75217306904295,"{0: 19, 1: 2, 2: 8, 3: 1, 4: 0}",0
28,False,"{'a': 0.6, 'e': 0.9723747443770956}",20,0,-63.26324138261547,"{0: 13, 1: 0, 2: 6, 3: 1, 4: 0}",0
29,False,"{'a': 0.6, 'e': 0.9714023696327184}",25,0,-168.66099332571562,"{0: 12, 1: 2, 2: 7, 3: 3, 4: 1}",0
