trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.95}",25,0,-154.25156609393073,"{0: 17, 1: 1, 2: 3, 3: 1, 4: 3}",0
2,False,"{'a': 0.5, 'e': 0.8999999999999999}",20,0,-185.9290958225858,"{0: 10, 1: 3, 2: 2, 3: 2, 4: 3}",0
3,False,"{'a': 0.5, 'e': 0.8499999999999999}",20,10,-42.99079438422796,"{0: 7, 1: 1, 2: 1, 3: 0, 4: 1}",1
4,False,"{'a': 0.5, 'e': 0.7999999999999998}",20,0,-107.84957937274163,"{0: 14, 1: 0, 2: 4, 3: 0, 4: 2}",0
5,False,"{'a': 0.5, 'e': 0.7499999999999998}",20,0,-106.89727558038582,"{0: 10, 1: 3, 2: 6, 3: 0, 4: 1}",0
6,False,"{'a': 0.5, 'e': 0.6999999999999997}",20,0,-60.08184444530692,"{0: 12, 1: 3, 2: 4, 3: 1, 4: 0}",0
7,False,"{'a': 0.5, 'e': 0.6499999999999997}",20,4,-64.48340637375874,"{0: 11, 1: 0, 2: 4, 3: 0, 4: 1}",1
8,False,"{'a': 0.5, 'e': 0.5999999999999996}",20,0,-121.43324022304571,"{0: 10, 1: 4, 2: 3, 3: 2, 4: 1}",0
9,False,"{'a': 0.5, 'e': 0.5499999999999996}",25,0,-103.67378487877887,"{0: 16, 1: 1, 2: 6, 3: 1, 4: 1}",0
10,False,"{'a': 0.5, 'e': 0.4999999999999996}",25,0,-144.7107317402952,"{0: 11, 1: 3, 2: 8, 3: 3, 4: 0}",0
11,False,"{'a': 0.5, 'e': 0.4499999999999996}",25,0,-58.53671883356667,"{0: 18, 1: 3, 2: 2, 3: 2, 4: 0}",0
12,False,"{'a': 0.5, 'e': 0.39999999999999963}",20,0,-64.91329256563209,"{0: 15, 1: 2, 2: 1, 3: 1, 4: 1}",0
13,False,"{'a': 0.5, 'e': 0.34999999999999964}",25,0,-296.43325082012956,"{0: 10, 1: 1, 2: 7, 3: 2, 4: 5}",0
14,False,"{'a': 0.5, 'e': 0.29999999999999966}",20,0,-118.82686135569867,"{0: 12, 1: 0, 2: 5, 3: 2, 4: 1}",0
15,False,"{'a': 0.5, 'e': 0.24999999999999967}",25,0,-187.09921753531177,"{0: 11, 1: 2, 2: 9, 3: 1, 4: 2}",0
16,False,"{'a': 0.5, 'e': 0.19999999999999968}",20,0,-104.04381205669635,"{0: 10, 1: 4, 2: 2, 3: 4, 4: 0}",0
17,False,"{'a': 0.5, 'e': 0.1499999999999997}",20,0,-44.40690851341291,"{0: 14, 1: 1, 2: 5, 3: 0, 4: 0}",0
18,False,"{'a': 0.5, 'e': 0.09999999999999969}",25,0,-106.85876398618304,"{0: 17, 1: 0, 2: 5, 3: 2, 4: 1}",0
19,False,"{'a': 0.5, 'e': 0.049999999999999684}",20,0,-166.85552150926034,"{0: 10, 1: 2, 2: 3, 3: 3, 4: 2}",0
20,False,"{'a': 0.5, 'e': -3.191891195797325e-16}",20,0,-162.03301900747596,"{0: 11, 1: 3, 2: 3, 3: 0, 4: 3}",0
1,True,"{'a': 0, 'e': 0}",20,0,-13.383563072587508,"{0: 16, 1: 1, 2: 3, 3: 0, 4: 0}",0
2,True,"{'a': 0, 'e': 0}",20,0,-106.87219867898081,"{0: 10, 1: 4, 2: 4, 3: 1, 4: 1}",0
3,True,"{'a': 0, 'e': 0}",20,0,-124.34447552834465,"{0: 10, 1: 1, 2: 7, 3: 1, 4: 1}",0
4,True,"{'a': 0, 'e': 0}",20,0,-90.68413228829982,"{0: 12, 1: 2, 2: 5, 3: 0, 4: 1}",0
5,True,"{'a': 0, 'e': 0}",25,0,-164.35692323982502,"{0: 12, 1: 4, 2: 6, 3: 1, 4: 2}",0
6,True,"{'a': 0, 'e': 0}",30,0,-177.07257134755147,"{0: 21, 1: 0, 2: 4, 3: 2, 4: 3}",0
7,True,"{'a': 0, 'e': 0}",25,0,-133.84638538747475,"{0: 14, 1: 2, 2: 6, 3: 2, 4: 1}",0
8,True,"{'a': 0, 'e': 0}",20,0,-86.58836089399986,"{0: 9, 1: 3, 2: 8, 3: 0, 4: 0}",0
9,True,"{'a': 0, 'e': 0}",20,2,-131.9078375278271,"{0: 9, 1: 1, 2: 6, 3: 0, 4: 2}",1
10,True,"{'a': 0, 'e': 0}",20,0,-164.84447388160322,"{0: 10, 1: 0, 2: 6, 3: 2, 4: 2}",0
